Tarih;;;;;
;PM10 ( microg/m3 );CO ( microg/m3 );NO2 ( microg/m3 );NOX ( microg/m3 );NO ( microg/m3 )
2018-06-26;47,97;559,87;61,99;115,22;34,70
2018-06-27;49,44;625,90;65,61;116,14;32,99
2018-06-28;40,35;556,45;51,29;76,00;16,46
2018-06-29;-;-;-;-;-
2018-06-30;30,97;-;-;-;-
2018-07-01;35,62;-;-;-;-
2018-07-02;42,73;443,10;75,17;149,10;48,30
2018-07-03;41,28;484,60;94,25;170,32;49,78
2018-07-04;46,51;469,94;89,41;160,29;46,16
2018-07-05;44,54;406,80;83,65;146,11;40,66
2018-07-06;39,29;412,35;72,02;121,52;32,26
2018-07-07;42,44;450,41;68,20;120,45;34,02
2018-07-08;35,51;361,28;56,75;92,12;23,05
2018-07-09;36,12;440,14;67,96;120,85;34,54
2018-07-10;40,86;478,41;68,26;127,93;38,97
2018-07-11;40,78;471,22;67,39;124,40;37,24
2018-07-12;34,48;444,47;69,54;117,99;31,59
2018-07-13;45,11;482,76;75,71;121,40;29,91
2018-07-14;40,80;425,95;55,14;82,82;17,98
2018-07-15;45,94;435,41;58,75;89,62;20,14
2018-07-16;51,90;571,65;76,54;155,71;51,63
2018-07-17;65,97;483,55;86,16;122,59;23,70
2018-07-18;54,24;471,56;81,43;129,91;31,68
2018-07-19;63,03;518,90;89,13;142,23;34,57
2018-07-20;56,94;503,23;68,45;131,69;41,21
2018-07-21;73,78;506,44;78,09;122,46;29,00
2018-07-22;83,42;758,41;85,43;167,33;53,42
2018-07-23;74,80;773,72;114,65;214,32;65,01
2018-07-24;30,78;349,28;59,11;83,42;15,88
2018-07-25;47,60;495,05;72,86;127,48;35,62
2018-07-26;56,42;605,18;77,31;149,05;46,80
2018-07-27;53,08;554,74;77,04;139,77;40,94
2018-07-28;50,73;512,56;82,19;114,27;20,88
2018-07-29;53,60;569,67;66,56;125,05;38,15
2018-07-30;37,62;518,37;70,31;131,81;40,45
2018-07-31;33,45;492,19;62,38;120,00;37,67
2018-08-01;39,75;510,15;58,36;103,38;29,29
2018-08-02;59,00;529,30;62,87;109,74;30,65
2018-08-03;67,52;492,44;62,22;102,67;26,42
2018-08-04;59,19;458,76;60,88;100,18;27,00
2018-08-05;76,27;439,95;56,63;84,04;17,83
2018-08-06;98,74;524,09;70,08;121,06;33,36
2018-08-07;43,40;526,58;72,73;116,64;32,98
2018-08-08;48,60;556,91;70,82;114,67;28,61
2018-08-09;43,87;499,66;64,53;110,96;32,40
2018-08-10;48,09;415,79;65,18;118,85;35,46
2018-08-11;50,17;423,12;58,13;102,52;29,67
2018-08-12;40,99;411,35;62,01;96,62;22,61
2018-08-13;40,54;477,94;71,04;130,32;38,62
2018-08-14;44,17;520,87;75,95;143,71;43,79
2018-08-15;48,48;477,40;66,20;111,88;28,69
2018-08-16;50,41;-;74,10;128,14;35,24
2018-08-17;38,87;528,38;69,85;118,14;31,52
2018-08-18;55,57;585,44;66,70;105,49;25,31
2018-08-19;43,13;467,95;55,68;88,13;19,68
2018-08-20;44,26;402,49;56,22;91,99;23,25
2018-08-21;35,76;420,15;52,51;82,85;19,77
2018-08-22;42,56;493,98;57,68;87,09;19,21
2018-08-23;42,30;430,89;53,85;81,48;17,90
2018-08-24;53,08;411,71;51,20;73,31;14,45
2018-08-25;45,54;382,42;51,63;79,80;18,36
2018-08-26;41,20;451,93;57,84;93,19;23,08
2018-08-27;43,32;538,88;61,32;107,34;29,93
2018-08-28;42,58;477,85;64,19;110,23;30,01
2018-08-29;50,09;425,36;54,73;93,10;25,00
2018-08-30;58,18;442,15;54,63;88,29;21,99
2018-08-31;53,40;539,00;65,60;110,68;29,46
2018-09-01;57,49;557,78;58,20;92,02;22,03
